dateForecast,ID_CASE,CROP,SOIL,METEO,readilyAvailableWater,soilWaterDeficit,rootDepth,forecast7daysPrec,forecast7daysMaxTransp,forecast7daysIRR,previous14daysIRR,previousAllSeasonIRR
2018-05-18,M01100S182C2,RAINFEDWHEAT,MON1,01100,119.0,79.7,1.47,18.1,23.5,0,0,0
2018-05-18,M01100S182C3,ALFALFA,MON1,01100,63.8,208.6,2.00,18.1,14.4,0,0,0
2018-05-18,M01100S279C1,CORN,TAL1,01100,48.0,25.2,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S284C1,CORN,TEG2,01100,44.0,25.1,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S284C12,GRAPEVINE,TEG2,01100,60.7,39.6,1.00,18.1,19.3,0,0,0
2018-05-18,M01100S284C13,PEACH,TEG2,01100,52.9,63.1,1.20,18.1,25.0,0,0,0
2018-05-18,M01100S284C2,RAINFEDWHEAT,TEG2,01100,86.4,78.6,1.47,18.1,23.5,0,0,0
2018-05-18,M01100S284C3,ALFALFA,TEG2,01100,108.9,117.8,2.00,18.1,14.4,0,0,0
2018-05-18,M01100S291C1,CORN,TIE2,01100,56.4,25.2,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S291C2,RAINFEDWHEAT,TIE2,01100,82.2,79.2,1.47,18.1,23.5,0,0,0
2018-05-18,M01100S291C3,ALFALFA,TIE2,01100,100.7,117.2,2.00,18.1,14.4,0,0,0
2018-05-18,M01100S91C1,CORN,CTL7,01100,42.9,25.2,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S91C12,GRAPEVINE,CTL7,01100,62.5,39.7,1.00,18.1,19.3,0,0,0
2018-05-18,M01100S91C2,RAINFEDWHEAT,CTL7,01100,91.6,79.3,1.47,18.1,23.5,0,0,0
2018-05-18,M01137S252C1,CORN,SCN5,01137,58.6,35.7,0.84,19.0,26.1,0,0,0
2018-05-18,M01137S252C2,RAINFEDWHEAT,SCN5,01137,106.0,100.3,1.48,19.0,23.5,0,0,0
2018-05-18,M01137S267C1,CORN,SMB1,01137,57.5,35.6,0.84,19.0,26.1,0,0,0
2018-05-18,M01137S267C12,GRAPEVINE,SMB1,01137,63.7,59.2,1.00,19.0,20.5,0,0,0
2018-05-18,M01137S267C2,RAINFEDWHEAT,SMB1,01137,97.8,102.2,1.48,19.0,23.5,0,0,0
2018-05-18,M01137S267C25,PEAR,SMB1,01137,58.1,71.3,1.20,19.0,23.9,0,0,0
2018-05-18,M01137S267C3,ALFALFA,SMB1,01137,84.9,170.7,1.90,19.0,15.5,0,0,0
2018-05-18,M01137S268C1,CORN,SMB2,01137,48.6,34.9,0.84,19.0,26.1,0,0,0
2018-05-18,M01137S268C2,RAINFEDWHEAT,SMB2,01137,84.4,100.5,1.48,19.0,23.5,0,0,0
2018-05-18,M01137S268C3,ALFALFA,SMB2,01137,50.4,138.2,1.50,19.0,15.5,0,0,0
2018-05-18,M01138S136C1,CORN,LBA1,01138,36.8,32.1,0.85,19.7,26.3,0,0,0
2018-05-18,M01138S136C12,GRAPEVINE,LBA1,01138,41.2,50.7,1.00,19.7,20.6,0,0,0
2018-05-18,M01138S136C2,RAINFEDWHEAT,LBA1,01138,51.0,96.7,1.48,19.7,23.5,0,0,0
2018-05-18,M01138S136C3,ALFALFA,LBA1,01138,24.7,133.6,1.60,19.7,15.9,0,0,0
2018-05-18,M01138S161C1,CORN,MDC1,01138,32.2,32.1,0.85,19.7,26.3,0,0,0
2018-05-18,M01138S161C12,GRAPEVINE,MDC1,01138,34.7,51.5,1.00,19.7,20.6,0,0,0
2018-05-18,M01138S161C2,RAINFEDWHEAT,MDC1,01138,58.3,100.0,1.48,19.7,23.5,0,0,0
2018-05-18,M01138S161C3,ALFALFA,MDC1,01138,48.3,111.1,1.50,19.7,15.9,0,0,0
2018-05-18,M01138S267C1,CORN,SMB1,01138,58.8,35.6,0.85,19.7,26.3,0,0,0
2018-05-18,M01138S267C12,GRAPEVINE,SMB1,01138,64.3,58.7,1.00,19.7,20.6,0,0,0
2018-05-18,M01138S267C2,RAINFEDWHEAT,SMB1,01138,99.4,100.9,1.48,19.7,23.5,0,0,0
2018-05-18,M01138S267C27,PEACH,SMB1,01138,54.8,85.3,1.20,19.7,25.1,0,0,0
2018-05-18,M01138S267C3,ALFALFA,SMB1,01138,97.3,158.3,1.90,19.7,15.9,0,0,0
2018-05-18,M01138S268C1,CORN,SMB2,01138,49.9,34.8,0.85,19.7,26.3,0,0,0
2018-05-18,M01138S268C12,GRAPEVINE,SMB2,01138,54.3,56.5,1.00,19.7,20.6,0,0,0
2018-05-18,M01138S268C2,RAINFEDWHEAT,SMB2,01138,86.0,99.2,1.48,19.7,23.5,0,0,0
